55,8
48,1
7,52
33,4700
33,20
40,180
33,4
27,653
19,1
10,315
10,1728
7,11000
28,1
73,2
33,24
33,164
10,69
13,17118
11,443
15,8200
28,2500
5,23
14,2
54,15
19,87652
8,2
14,7
33,1
30,70
11,1
30,9
208,4
11,322
10,131
13,11
23,80
9,306
10,3
7,1100
41,3
14,1
13,316000
8,126
24,10
26,80361
10,894
10,4
16,176
47,3
24,9
33,216
8,65
0,14
10,261
20,1086
56,5
25,60
33,2
10,81
33,41
24,2
33,3000
72,300
10,10
33,103
10,1
22,350
18,738
33,2
11,19
6,1
132,2
33,13
17,231
16,20005
10,50
10,29
13,78
33,30
5,300
33,600
50,2
18,238
36,140
41,3
10,31000
10,3
16,40
108,72
10,300
34,802
4,2
17,2220
33,1
23,207
33,22
10,16
40,26
30,227899
9,978
23,125
33,2
33,3000
23,558
5,10000
40,573
10,5000
19,62
5,3
3,50
27,3
36,56
10,2
21,1
15,5
26,46
10,81
13,11
142,848
5,2
37,6
20,4689
8,18
10,17
22,5300
11,1989
15,20
89,1641
13,10488
11,22
33,1
18,200
17,2
62,30
19,2
18,38
33,2297
6,181
5,1070
29,28
10,9
1,3
14,26
30,18453
11,51
10,9
12,3
10,11
31,15
12,1342
37,1
50,111
18,2
21,3
33,95
22,545
16,604
60,844
22,15
7,71
61,35
10,8
24,200
5,6
40,170
25,2412
99,5
33,26
18,192
18,60
10,2000
25,82
10,2
10,88
33,5
44,28
21,1
10,12
32,81
33,220
10,15
89,14
33,15
33,150
23,242769
28,9500
10,32
5,23000
19,1
24,104
17,1185
