55,5
48,2.1
7,131
33,10
33,1.1
40,1500
33,5
27,750
19,1.128
10,348.5
10,100
7,300
28,0.3
73,1
33,41
33,4.2
10,5
13,20000
11,8
15,10000
28,100
5,1
14,12.5
54,5
8,300
14,70
33,43
30,285.5
11,700
30,28
208,5
11,506
10,2700
13,164
23,1
9,2500
10,5
7,1500
41,5
14,5
13,8000
8,58.35
24,5
26,5200
10,1000
10,2
16,8
47,0.4
24,1.2
33,320
8,505
0,100
10,300
20,55.6
56,3.9
25,5
33,36
10,1000
33,200
24,1
33,1000
72,5
10,72
33,6
10,1
22,410.9
18,269
33,0.5
11,500
6,3000
132,730
33,1.45
17,1207
16,2623
10,4600
10,796
13,10
33,5
5,5
33,8
50,500
18,2.2
36,1.5
41,1
10,32.7
10,4500
16,28000
108,20
10,140
34,55
4,1150
17,500
33,54
23,170.476
33,812
10,75
40,80
30,10000
9,3600
23,35
33,5
33,5
23,30000
5,2968
40,195
10,5200
19,5600
5,310
3,250
27,170.4
36,143
10,4.34
21,5
15,1
26,30
10,80
13,36.1
142,36
5,500
37,1
20,20000
8,1.75
10,15800
22,3.255
11,300
15,0.6
89,2000
13,35
11,232.3
33,5
18,245
17,19.5
62,16
19,1
18,8
33,14000
6,15000
5,1000
29,7.7
10,40
1,92
14,660
11,15
10,12500
12,25
10,1
31,1.714
12,25
37,0.1
50,22.3
18,2.43
21,5
33,205.8
22,1200
16,1500
60,753
22,600
7,5
61,164.8
10,358
24,1
5,5
40,30
25,369.6
99,2
33,0.2
18,285
18,40000
10,60
25,6
10,50
10,30
33,70
44,865
21,100
10,1000
32,3.7
33,5
10,5
89,23.7
33,0.45
33,5
23,5600
28,4000
10,55
5,2147
19,210
24,800
17,1857.366
