7.3,2
6.5,2
6.5,30
6.6,3
6.1,1
6.8,1
7,4
7.2,3
6.8,3
7.2,12225
5.4,300
7,4
6,1070
6.5,1
6.1,1
5.2,8
7,107
9.2,139
6,1
7.5,26
5.5,4
7.6,71
6.2,32
6.6,7
6,125
6.3,2
7.8,1
8,7
6.3,80
4.6,12
8.1,4
5.7,1
6.8,5000
5.5,71
5,10
6.5,300
5.3,2
7,2
7.5,1
6,216
5.1,8
7.2,20
4.9,1
5.3,2
8.2,52
7.3,270
7.3,10488
6.5,700
6.6,2000
6.3,4
6.2,40
6.4,3000
6.3,12
4.8,1
7.8,10000
4.8,2
5.4,26
7.4,1086
7.3,15
5.7,3
4.9,1
6.7,4
7.1,1
5.3,3
7.3,18
7.6,82
8.1,2
4.6,24
6.5,65
5.2,1377
7.8,83
7.9,3
5.2,2
7.5,1
6.9,4
6.9,4
6.1,3
6.2,3
6.3,1
6.2,10000
7.7,27
5.2,2
6.5,27
6.2,3
6.8,47
5.6,1
4.3,1
6.7,2311
7.6,1
7.7,2
5.5,1
5.1,4
7.1,6000
6.5,573
7.5,242769
8,8000
5.5,5
6,11
7.1,133
5.2,4
7.5,1641
7.3,1
6.9,167
5.9,2
6.8,34
8.1,18
5.4,3
8,189
7.4,70
5.8,584
6.6,3
7.7,28
6.4,50
4.5,17
7.8,20000
7.7,9
6.2,76
7,2
6.8,200
6.9,18
7.6,5
6.9,131
5.8,22
5.4,41
7.9,115
5.8,5
6.2,2
6.8,4
6.1,30
5.2,1
6.6,350
6.4,72
7.5,17
6.6,8
5.2,57
6.4,1
6.4,1
6.5,200
6.4,2
4.9,15
7.7,5000
4.9,7
6.7,305
6.8,150
4.6,12
6.7,22
6.4,1
5.6,2
4.8,8
6.7,3000
5.2,10
5.9,220
5.4,15
4,6
3.5,1879
5.5,10
6.2,43
5.1,3
6,2800
6.6,500
5.9,13
4.7,12
7.7,104
6.2,2
5.3,1
6.5,16
7.3,5
6.1,2
5,2
6.2,443
6.6,2
6.1,4
5.3,3
5.8,3
5.2,3
5.1,1
6.7,5
6.7,20
6.1,29
6.1,2
6.9,12000
5.8,23
7.5,71
6.3,10
8.1,9500
5.9,6
4.2,3
4.3,1
5.3,2
4.7,3
4.6,16
5.7,4
6.4,1
6.2,2
5.6,3
6.9,4
5.4,1100
5.6,3
4.3,3
5.2,1
5.7,8
6.2,2
5.8,2
7.3,738
6.2,11
6.1,1
6.9,62
5.3,29
4.7,4
5.4,12
7,2
5.5,1
4.7,2
7.6,3
6.9,126
5.4,2
6.5,200
